grade,direction_value,surface_value,cond_range,race_distance,race_type,median_winner_time,upper_quartile_winner_time,lower_quartile_winner_time,median_top3_time,upper_quartile_top3_time,lower_quartile_top3_time
A,LeftTurning,Dirt,0.0,10,Maiden,128.25503115625344,128.58316982436475,128.03080106912165,129.05593023744353,129.3736338472277,128.50621290699095
A,LeftTurning,Dirt,0.0,10,RestrictedStakes,127.07161314649845,127.43940557185665,126.90262138472201,127.65656085004967,127.91373591501916,127.465878025879
A,LeftTurning,Dirt,0.0,11,Allowance,142.52971605654943,143.05235663305285,142.09398102491713,143.09657512012433,143.40053299337998,142.8888986877217
A,LeftTurning,Dirt,0.0,11,Claiming,143.32151503071566,143.32151503071566,143.32151503071566,143.98733355247987,143.98733355247987,143.98733355247987
A,LeftTurning,Dirt,0.0,11,Maiden,143.93939519590367,144.08538285652617,143.4094541893993,144.52567072199616,144.80970540783727,144.38273757071033
A,LeftTurning,Dirt,0.0,11,RestrictedStakes,142.4433295886747,142.889034084212,142.21000765138666,143.05305022611557,143.2763154901934,142.8040209400409
A,LeftTurning,Dirt,0.0,12,Allowance,157.03310809277266,157.11324212976606,156.15752059264557,157.05720809496034,157.7213508982191,156.85492382434194
A,LeftTurning,Dirt,0.0,12,Claiming,157.8663029917055,157.8663029917055,157.8663029917055,158.4831847294249,158.4831847294249,158.4831847294249
A,LeftTurning,Dirt,0.0,12,Maiden,158.1209879232464,158.63864723462035,157.909550828205,158.74882502909105,159.13848083350277,158.16800137403138
A,LeftTurning,Dirt,0.0,12,RestrictedStakes,156.33112784158382,156.89456570816532,156.1731411772924,157.20899558670806,157.66417664900288,156.76498154626051
A,LeftTurning,Dirt,0.25,4,Allowance,46.37644619286746,46.566422631517845,46.245699856899094,46.6085232974232,46.82947646127525,46.550060623215145
A,LeftTurning,Dirt,0.25,4,Claiming,46.61302315070452,46.746972453039476,46.59198090286874,47.04619667473057,47.07787682356748,46.99298887371912
A,LeftTurning,Dirt,0.25,4,Maiden,46.672469525818414,46.96540366633668,46.48891572579013,47.184897200405516,47.30438257414925,46.98080126665344
A,LeftTurning,Dirt,0.25,4,RestrictedStakes,46.41324375183375,46.539059511512846,46.29267144582893,46.79139527027826,46.810173126578974,46.59140130023573
A,LeftTurning,Dirt,0.25,5,Allowance,59.88506289181407,59.93542887252653,59.65645954549197,60.074563054087285,60.31837619501825,59.95527741356941
A,LeftTurning,Dirt,0.25,5,Claiming,60.556004633435926,60.82132265319042,60.2900332306323,60.7541328291596,60.88270727529537,60.628329071957886
A,LeftTurning,Dirt,0.25,5,Maiden,60.28801434115384,60.33133371173312,60.17248610530011,60.62312454129764,60.645389559819726,60.36258715589324
A,LeftTurning,Dirt,0.25,5,RestrictedStakes,59.81899108238035,59.95253293186553,59.64520579334986,60.11588050349238,60.27055977155056,59.96284663494899
A,LeftTurning,Dirt,0.25,6,Allowance,71.07116057456108,71.14053577742695,70.91492027870608,71.54750240138628,71.84558645651254,71.24654822723443
A,LeftTurning,Dirt,0.25,6,Claiming,71.87992087903399,71.97710246984273,71.70053693792323,72.25915658937353,72.41714186171832,72.06437897504577
A,LeftTurning,Dirt,0.25,6,Maiden,71.70412561478543,71.90888284655333,71.49059640686679,72.15754449010612,72.35904293995533,71.96732698147149
A,LeftTurning,Dirt,0.25,6,RestrictedStakes,71.20874760627171,71.39768144559794,70.86613395057493,71.5130069328381,71.6536644147302,71.2785916835531
A,LeftTurning,Dirt,0.25,7,Allowance,84.97947809482764,85.35790582753394,84.74331995579783,85.31276694382765,85.39742593435606,85.13127499910632
A,LeftTurning,Dirt,0.25,7,Claiming,85.790078042512,85.84129780212069,85.69287162842296,86.06687423440576,86.25856086096394,85.90183490056373
A,LeftTurning,Dirt,0.25,7,Maiden,85.58637333497506,85.78375169334905,85.53800563260663,86.01190174477078,86.23891472809144,85.85703267161051
A,LeftTurning,Dirt,0.25,7,RestrictedStakes,84.87125633863181,84.96182034600577,84.78705887373211,85.3777410352928,85.5544048352719,85.04825323474769
A,LeftTurning,Dirt,0.25,8,Allowance,99.23505767669688,99.45638442521556,98.87647057440205,99.89410049623464,99.92044393221296,99.54265342388626
A,LeftTurning,Dirt,0.25,8,Claiming,100.18688456699127,100.27295766270852,100.0036033085832,100.97081637518606,101.05771680660007,100.84486612148388
A,LeftTurning,Dirt,0.25,8,Maiden,99.92077436612333,100.21224381872014,99.78972058426405,100.45450702868942,100.620255095049,100.40979190987292
A,LeftTurning,Dirt,0.25,8,RestrictedStakes,99.4169309976496,99.55324413560534,99.29654319012104,99.65046899013495,99.90737095120164,99.57731055043365
A,LeftTurning,Dirt,0.25,9,Allowance,112.75310558743406,113.26300770830002,112.51572094663516,113.31396700172957,113.55989239773332,113.12458483029978
A,LeftTurning,Dirt,0.25,9,Claiming,113.70854206856536,113.8483583845134,113.51203998741741,114.54616443123628,114.74408265258295,114.15124998702854
A,LeftTurning,Dirt,0.25,9,Maiden,113.91134605292453,114.0622666684535,113.74413564762307,114.27377576036535,114.38591386797324,114.10206026043227
A,LeftTurning,Dirt,0.25,9,RestrictedStakes,112.98605997547789,113.22629303221572,112.78387674706971,113.71343773871271,114.28345697506273,113.17556504715694
A,LeftTurning,Dirt,0.25,10,Allowance,126.56120743216296,126.89628624989128,126.33112815492635,126.99573649485782,127.24848433170251,126.77654423802525
A,LeftTurning,Dirt,0.25,10,Claiming,127.88211063573655,128.10484763789856,127.65937363357452,128.46633664237163,128.686923660603,128.2457496241403
A,LeftTurning,Dirt,0.25,10,Maiden,127.68075280428172,127.95568050185366,127.41322264246516,128.3629656372166,128.67882500112944,128.10645011495802
A,LeftTurning,Dirt,0.25,10,RestrictedStakes,126.2554709104938,126.69729625306657,125.8442121531436,126.68865297595144,127.21516267527073,126.3066301527937
A,LeftTurning,Dirt,0.25,11,Allowance,142.04648067846864,142.49829983955797,141.71845111631728,142.50279088735505,142.63946666370762,142.1728644166451
A,LeftTurning,Dirt,0.25,11,Claiming,143.49273315598333,143.68866879410103,143.38340773696586,144.0503062993146,144.24679547703093,143.88972119686142
